id,public_id,kind,domain,title,symptom_md,hypothesis_md,root_cause_md,severity,priority,status,canonical_rule_id,fingerprint_version,fingerprint_sha256,evidence_grade,confidence,blast_radius,visibility,standard_refs,duplicate_of,regression_of,source_team,owner,introduced_commit,fixed_commit,fixed_release,legacy_bsi_id,legacy_threat_level,created_at,updated_at
e89e79f9-5bf3-4a98-b722-636e32651564,BSI-2026-0001,defect,ux,"Covert Mode Is a Page Navigation, Not a Toggle","On the Engineer's Report, pressing the covert button navigates to /analysis/{id}/view/C (full page load) instead of toggling. User loses scroll position. On non-results pages, the same button does a client-side class toggle.","Results page requires server-rendered covert template, so navigation is architecturally necessary. Scroll position loss and inconsistent interaction pattern were unaddressed.",activateCovertOrSwitch() uses location.href navigation on analysis pages with no scroll preservation. Fixed by adding sessionStorage save/restore of scrollY.,1,0,RENDERED,ux/covert-toggle-consistency,1,c2b8bab7122d36dd13e92cfcc19ea93bd68218fa9e26c1e89a1838875995a0a4,reproduced,0.95,flow,conference_demo,[],,,T002,,,,,BSI-001,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
fa7a4b51-9448-4c94-a4dc-87107db61bd4,BSI-2026-0002,design_debt,design_system,Glass Treatment Only on Posture Cards,Glassmorphism CSS selectors only match cards with exact class combination card.border-{status}.bg-{status}.bg-opacity-10. Confidence and Currency cards use card.bg-dark and get no glass treatment or hover-lift.,CSS selectors were written for the first card type and never extended to other card patterns.,Missing .card.bg-dark glass treatment rule. Fixed by adding glassmorphism and hover-lift to .card.bg-dark selector.,2,1,RENDERED,design/glassmorphism-consistency,1,47527c9fcd00f2c6cb6bd34e6951b6716dadb5ad8fd4859739f0cb077a4730d0,reproduced,0.90,page,critical_path,[],,,T002,,,,,BSI-002,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
fc27ade0-03dc-4cd4-878d-fb20f23de309,BSI-2026-0003,claim_integrity,content,Golden Ratio Claim Scope Verification,Topology SVG claims golden ratio (320/198 = 1.616 ≈ phi) which is mathematically accurate. CSS type scale uses ad hoc values not derived from phi.,Claim may have been broader than implementation.,Verified: claim is correctly scoped to topology SVG aria-description only. No system-wide golden ratio claim found in user-facing code.,2,2,RENDERED,content/golden-ratio-claim-scope,1,ab982184426006ab2c3e1c671a04f27bc66537e4caef8b294ea5041c64bda1eb,measured,0.95,component,edge_case,[],,,T005,,,,,BSI-003,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
f724a954-3d36-4524-9b97-6276ab8b3a06,BSI-2026-0004,compliance_gap,accessibility,No prefers-reduced-motion in CSS,"Users who set Reduce Motion in OS settings still see every CSS transition, transform, and animation. JavaScript handles topology SVG SMIL but CSS transitions are unprotected.",,Missing @media (prefers-reduced-motion: reduce) block. Fixed by adding universal selector that kills animation-duration and transition-duration.,2,1,RENDERED,a11y/prefers-reduced-motion,1,97da91606dca883f9650e6fb21cee973323aa6e538c053f82d1a2a05343aaa4e,reproduced,0.95,sitewide,common,"[{""ref"": ""2.3.3"", ""level"": ""AAA"", ""scheme"": ""WCAG""}]",,,T004,,,,,BSI-004,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
5282ff74-4ecf-457b-8ca9-ca7dc101aec4,BSI-2026-0005,compliance_gap,accessibility,Stats Metric Label 2.1:1 Contrast Ratio,.stats-confidence-metric-label uses color #484f58 on #161b22 background. Contrast ratio approximately 2.1:1. WCAG AA requires 4.5:1 for normal text.,,Hardcoded color too dark. Fixed by changing to #8b949e (5.1:1 contrast ratio).,2,1,RENDERED,a11y/contrast-minimum,1,5cd87687c06f7a9de6ad8dd2bd1e2cd4fa8eef2b027fdf5e2644a4fb96ee3cb7,measured,0.99,page,common,"[{""ref"": ""1.4.3"", ""level"": ""AA"", ""scheme"": ""WCAG""}]",,,T003,,,,,BSI-005,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
c764c32d-4a18-46e2-8548-56b1002b2423,BSI-2026-0006,compliance_gap,accessibility,Compare Select Rows Keyboard Inaccessible,"Domain comparison rows use click handlers on bare tr elements. No tabindex, no role, no aria-label. Keyboard-only users cannot reach or activate these rows.",,"Missing keyboard accessibility attributes. Fixed by adding tabindex=0, role=button, aria-label, and Enter/Space keydown handler.",1,0,RENDERED,a11y/keyboard-accessible-interactive,1,6d30148fe3e19413d347b07a9290deda3dd16b457d9f40141486bd054d775b88,reproduced,0.99,page,common,"[{""ref"": ""2.1.1"", ""level"": ""A"", ""scheme"": ""WCAG""}]",,,T003,,,,,BSI-006,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
ea3ce361-556e-4700-a966-def5d89f2a3f,BSI-2026-0007,defect,content,Architecture Page SVG Diagrams 404,Two SVG diagrams (drift-notification-pipeline.svg and github-issues-triage.svg) reported as returning 404 on the architecture page.,Files may have been missing from static/images/diagrams/ directory.,Files exist and serve HTTP 200. Issue was previously resolved.,2,1,RENDERED,content/broken-asset-links,1,1df827ff2fda8938de482a9fc09776cd6e6c571be42edc3011c6af6091fcaaec,measured,0.99,page,conference_demo,[],,,T001,,,,,BSI-007,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
d5ddb993-5176-4de7-b079-3bd33cd639a9,BSI-2026-0008,compliance_gap,accessibility,Copy Buttons Mouse-Only Visibility,.copy-btn has opacity: 0 by default and only becomes visible on :hover. Keyboard-only users never see the button and cannot focus on an invisible element.,,Missing keyboard focus reveal. Fixed by adding :focus-within and :focus selectors alongside :hover for opacity:1.,2,1,RENDERED,a11y/keyboard-visible-interactive,1,16405d18f4fecbff255ff490f54f826304b3b8c588e08af91933cf63fa22f51a,reproduced,0.99,sitewide,common,"[{""ref"": ""2.1.1"", ""level"": ""A"", ""scheme"": ""WCAG""}, {""ref"": ""2.4.7"", ""level"": ""AA"", ""scheme"": ""WCAG""}]",,,T002,,,,,BSI-008,APT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
75949737-907f-47b2-b98a-3ee1a65fd639,BSI-2026-0009,defect,ux,Anchor Scroll Handler Hijacks Bootstrap Collapse,"A generic smooth-scroll handler on ALL a[href^=""#""] links calls e.preventDefault(), blocking Bootstrap collapse triggers that use href=""#target"" instead of data-bs-target.",Bootstrap collapse relies on default click behavior which is being intercepted.,,2,1,DETAINED,ux/scroll-handler-bootstrap-conflict,1,67bba28334558ba589ecf7a707d0551996bbf54182eecfb12ec888747c25c1c6,reproduced,0.90,flow,common,[],,,T002,,,,,BSI-009,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
e9859693-3fae-4220-8fa9-a48ad5e19080,BSI-2026-0010,defect,ux,white-space-nowrap Class Does Not Exist,Template uses CSS class white-space-nowrap which does not exist in Bootstrap or custom CSS. The intended class is text-nowrap.,,,3,2,DETAINED,ux/nonexistent-css-class,1,62e1dacdfa1e935fb5da847f2c1e1577ee53e8ac70157e6f1a1252205b443f87,static_analysis,0.99,component,edge_case,[],,,T002,,,,,BSI-010,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
