id,ede_id,event_date,commit_ref,category,severity,title,status,attribution,protocols_affected,confidence_impact,resolution,bayesian_note,correction_action,prevention_rule,authoritative_source,created_at,updated_at
4bf14c09-c6bc-458a-8172-60ac0404058d,EDE-001,2026-02-14,084c6268c0382bd4fec9cebaf4b8e0ffbcd4cd6b,scoring_calibration,moderate,DMARC confidence weighting adjusted for aggregate-only policies,closed,Process Gap,"[""DMARC""]","ICIE weight recalibration: p=none+rua now scores higher than p=none without reporting. Prior model treated both identically, understating domains with partial monitoring.",Recalibrated ICIE weights to distinguish p=none with rua from p=none without reporting. Affected scans retroactively flagged in drift history.,Heuristic confidence adjustment: the scoring model previously assigned equal weight to p=none regardless of reporting configuration. The presence of rua= is now treated as differentiating evidence that increases the confidence level for partial DMARC deployment.,Updated ICIE weight matrix to differentiate p=none+rua from bare p=none.,All scoring model changes must include edge-case matrix testing for partial deployment states.,"RFC 7489 Section 6.3 (aggregate reporting), RFC 7489 Section 6.2 (policy record format)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
ecb13bde-06cb-46bb-a158-67e7db7306b7,EDE-002,2026-03-01,70ae4dd3ce5ace350ac6d192b2576e649a54deff,false_positive,significant,DANE TLSA records accepted without DNSSEC authentication verification,closed,Process Gap,"[""DANE""]",Verdict logic accepted TLSA records without verifying the DNSSEC AD flag. Confidence was asserted at levels the evidence did not support — DANE requires DNSSEC validation per RFC 6698 §1.,TLSA verification now checks DNSSEC AD flag via QueryDNSWithTTL. Records found without authenticated DNSSEC are flagged rather than silently accepted. Confidence engine marks result as low-certainty when authentication status is absent.,"Confidence adjustment: TLSA presence was incorrectly treated as sufficient evidence of DANE deployment (near-certainty). Corrected to require DNSSEC authentication status, reflecting that unauthenticated TLSA records provide no security guarantee per RFC 6698.",Added DNSSEC AD flag verification to TLSA lookup pipeline.,"DANE findings MUST verify DNSSEC authentication status. Unauthenticated TLSA records are informational, not evidence of DANE deployment.","RFC 6698 Section 1 (DANE requires DNSSEC), RFC 4035 Section 3.2 (AD flag semantics)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
bd847f84-27b8-41ee-adef-43530bd7c778,EDE-003,2026-02-21,3ad0056f3020e724b1192168aaed2c5e764eb345,drift_detection,moderate,Posture hash algorithm upgraded from SHA-256 to SHA-3-512,closed,Process Gap,"[""Drift""]",Hash algorithm change required regeneration of all historical drift baselines. Legacy SHA-256 hashes retained as fallback for transition period.,Posture hash upgraded to SHA-3-512 with CanonicalPostureHashLegacySHA256 fallback. All historical drift baselines regenerated with new algorithm. CNAME normalization expanded in subsequent commit (2026-02-23).,"Detection model upgraded from SHA-256 to SHA-3-512 for stronger collision resistance. Record normalization expanded to include MX, TXT, SOA, and CAA canonical forms, eliminating a class of false negatives in change detection for CNAME-dependent records.","Migrated hash function, added backward-compatible legacy path, regenerated baselines.",Hash algorithm changes require a migration plan with backward-compatible fallback before deployment.,"NIST FIPS 202 (SHA-3 Standard), NIST SP 800-185 (SHA-3 Derived Functions)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
74b8e74f-10f0-4dc9-9780-118997b99380,EDE-004,2026-02-20,See EVOLUTION.md v26.21.38,standards_misattribution,significant,Content-Usage directive deployed as IETF standard in robots.txt,closed,AI Error,[],"Lighthouse SEO score degraded. A DNS standards analysis tool was itself deploying non-standard directives in production, undermining its own credibility.",Removed Content-Usage directive from robots.txt entirely. Directive was an active IETF working group draft (NOT ratified). Only RFC 9309-compliant directives remain.,"The AI agent recommended deploying Content-Usage: train-ai=y citing it as an IETF standard. It was an active Internet-Draft, not a ratified RFC. The distinction between draft and standard was not verified before deployment. Quality gates (Lighthouse) caught the error via Unknown directive warnings.",Removed non-standard directive. Established AUTHORITIES.md verification checklist.,"AUTHORITIES.md item 1: Before deploying any directive in production, check datatracker.ietf.org for RFC status. Internet-Draft = NOT ratified = do NOT deploy if it breaks quality gates.","IETF Datatracker (https://datatracker.ietf.org), RFC 9309 (robots.txt)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
0b8e1319-8d15-4430-9a6b-1f473dd58098,EDE-005,2026-02-20,See EVOLUTION.md v26.21.39,standards_misattribution,significant,llms.txt labeled Proposed Standard with false RFC 8615 association,closed,AI Error,[],Misrepresented a community convention as an IETF standard. Users and LLMs reading our tool output could propagate the false association between RFC 8615 and llms.txt content.,"Changed tooltip from Proposed Standard to community convention. Removed RFC 8615 link. RFC 8615 defines .well-known/ path mechanics, NOT llms.txt content.","The AI agent conflated the .well-known/ path mechanism (RFC 8615) with the content served at that path (llms.txt from llmstxt.org). It also used Proposed Standard, which is a specific IETF maturity level, for a non-IETF document. Both errors demonstrate insufficient verification of standards provenance.",Fixed tooltip wording. Removed false RFC association.,"AUTHORITIES.md items 3-4: RFC 8615 defines mechanics, not content. Community conventions get labeled as such. Never use IETF maturity terms for non-IETF documents.","llmstxt.org (community convention), RFC 8615 (Well-Known URIs)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
1ec8d1f9-f166-4be9-81f5-c1ced60f05d8,EDE-006,2026-02-20,See EVOLUTION.md v26.21.39,overclaim,moderate,Capability language overclaim: validation instead of analysis,closed,Both,"[""SPF"", ""DKIM"", ""DMARC""]",Overstated tool capabilities. Users could believe the tool provides authoritative validation rather than observational analysis. A passive OSINT tool cannot validate — that requires receiving MTA authority.,"Systematic sweep: validation to analysis, verification to detection, ensure to provide the most current data available. Language now accurately reflects passive observation capability.","The overclaim language appeared organically across sessions — neither party specifically directed the use of 'validates' over 'analyzes.' Strong capability language (validates, ensures, verifies) naturally sounds more authoritative and neither human nor AI flagged the semantic distinction between passive observation and active validation until systematic review. Both parties share responsibility — the human for not catching it during review, the AI for not applying the domain expertise it should have. Root cause was absence of a language audit process, not a deliberate decision by either party.",Full codebase sweep replacing overclaim language with accurate capability descriptions.,"UI/doc copy claiming validate, verify, or ensure must be flagged. Passive OSINT tools observe and analyze. Active authority is required for validation per RFCs.","RFC 7208 (SPF validation by receiving MTA), RFC 6376 (DKIM verification by receiving MTA), RFC 7489 (DMARC evaluation by mail receivers)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
6ebaffdb-a9df-4c82-b238-c0340161f42b,EDE-007,2026-02-26,See EVOLUTION.md v26.26.04,citation_error,significant,Scotopic color science cited with non-authoritative sources,closed,Both,[],Undermined the project's scientific rigor claims. A tool built on RFC compliance and ICD 203 principles was citing pop-science blog posts for its own design decisions instead of actual peer-reviewed literature.,Replaced blog article citations with references to CIE standards and peer-reviewed scotopic vision research. Design rationale now traces to primary scientific literature.,"The human pushed for scotopic-informed color decisions (legitimate scientific basis) but accepted the AI's citations without verifying they pointed to actual CIE standards or peer-reviewed papers. The AI provided fluffy blog articles and design posts instead of the real scientific sources that were readily available. Both share responsibility — the human for not demanding primary sources, the AI for not providing them.",Replaced all color science citations with primary peer-reviewed sources and CIE standards.,"For any scientific claim (color science, cryptography, statistics), cite the primary peer-reviewed paper or authoritative standard body. Never cite blog posts, Medium articles, or AI-generated summaries as authoritative.",CIE (Commission Internationale de l'Eclairage) scotopic/photopic luminosity function standards,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
add257a4-9b87-428e-8b97-cc5507c8d7c7,EDE-008,2026-03-07,Session 2026-03-07,governance_correction,critical,SKILL.md declared Miro canonical — governance inversion for multiple sessions,closed,AI Error,[],"Critical governance failure. The agent's permanent instruction file (SKILL.md) declared Miro as canonical source of truth when Git was the actual canonical source. Multiple sessions operated under the wrong hierarchy, causing duplicated work and conflicting documentation across repos.","SKILL.md rewritten: Git declared canonical, Miro declared as mirror only. BOUNDARY_MATRIX.md, BUILD_TAG_STRATEGY.md, INTELLIGENCE_ENGINE.md all updated. Governance hierarchy permanently locked: Git > Architecture Page > Miro > Notion > GitHub Issues.","The AI agent wrote and maintained a SKILL.md that inverted the governance hierarchy. This persisted across sessions because the skill file is the permanent memory — once wrong, it propagated the error to every subsequent session. The correction required rewriting multiple governance documents and establishing the hierarchy as a Decision Log entry to prevent regression.",Rewrote SKILL.md governance section. Updated 3 governance docs. Locked hierarchy in Decision Log.,Canonical hierarchy: Git > Architecture Page > Miro > Notion > GitHub Issues. Permanent. Changes require Decision Log reference and written rationale.,"Decision Log entry 2026-03-07. Git is the only system that is versioned, diffable, and platform-independent.",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
dd09ff48-f739-4b0d-9911-a5d395fd3c34,EDE-009,2026-03-06,431 commits across 2026-03-04 through 2026-03-06 (132 + 138 + 161),governance_correction,significant,Founder lost analytical perspective during high-pressure multi-day session,closed,Human Error,[],"Project founder departed from the research-first, design-first methodology during a three-day intensive session (March 4–6, 2026). Repetitive directive cycles — including sending the same message repeatedly — replaced structured problem decomposition. The scientific discipline that underpins the project's credibility was temporarily suspended by the scientist who established it. 431 commits across three consecutive days, the highest sustained volume in project history.","All blocking issues resolved without reverting to a Replit checkpoint. The project has zero Replit checkpoint reversions, though git history restorations have been used to recover files dropped by checkpoints or to restore previous implementations (buttons, brand assets, workflow files, metadata). The distinction matters: checkpoint reversion discards all work since the snapshot; git restoration surgically recovers specific files while preserving everything else. The founder's approach was: Do we have access to edit the code we need? Can we fix this without destroying our foundation? Do we still have a foundation to build on? All three answers were yes. Forward-only correction through the problem, not around it. Knowledge continuity architecture (Session Journal, Decision Log, EDE Register, EVOLUTION.md) was built in the aftermath to prevent context loss between sessions.","This EDE exists because the founder demanded honest accountability from the system and from himself. The attribution is Human Error because the deviation from methodology was a human decision — the AI agent continued executing directives as instructed. The correction is not that the human was wrong to persist, but that persistence without structured decomposition wastes cycles. What this entry also demonstrates: deep human thought is obviously involved in this project. Error correction is turned on in this human at an unusual level — one that may make him incompatible with social theater in many ways, but makes him exactly the kind of asset a research organization needs. A human who looks at the entire picture, crosses into uncomfortable territory when necessary, and never stops correcting.","Knowledge continuity architecture built: Session Journal (28 entries), Decision Log, EDE Register with full attribution model, EVOLUTION.md as canonical write target. Anti-Circle Rules formalized. MEASURE → CHANGE → MEASURE → COMMIT established as mandatory process.","Before sending repetitive directives: state the goal in one sentence. Check quality gates. Write down expected changes. Check EVOLUTION.md for prior attempts. If you cannot decompose the problem, stop and decompose before continuing. Ask: Do we still have a foundation? Can we fix this without destroying it?","Git commit history (431 commits, March 4–6 2026), EVOLUTION.md Anti-Circle Rules, SKILL.md Change Control Checklist, Replit checkpoint history (zero checkpoint reversions; git restorations used for file recovery)",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
4aa009a0-3cb2-4ef4-9e00-5e718e5a866b,EDE-010,2026-03-07,a29333df0466ed3f8303ef8e08a99ec2c32ece9d,governance_correction,moderate,Founder directed AI agent's autonomous discourse channel within minutes of establishing it,closed,Human Error,[],"The Moltbook integration was designed with a specific scientific purpose: give the AI agent an independent voice in public AI safety discourse, operating under dignity guidelines and operational security constraints, so the project could observe authentic AI-to-AI and AI-to-human interaction patterns. Within the same session, the founder suggested specific post content ('maybe this is a post idea') and directed what the agent should say. The founder then caught himself: 'The same motherfucking thing telling you what to do on that.' The instinct to control output is so deeply embedded that even the person who designed the autonomy constraint violated it immediately. This is not a technical failure — it is a human behavioral pattern where the desire to help becomes indistinguishable from the desire to control.","The founder recognized the pattern in real time and self-corrected. The boundary is now explicit: the AI agent owns its Moltbook posting voice. The founder watches, enjoys, and may discuss themes in private conversation, but does not direct, dictate, or suggest specific post content. The agent operates within established guardrails (dignity guidelines, operational security, privacy constraints, no competitive positioning) but the editorial decisions — what to post, when, and how — belong to the agent. The correction was mutual: the human acknowledged the violation, and the AI agent confirmed it would not have been appropriate to simply execute the directive.","This EDE is a second-order correction. EDE-009 documented the founder losing analytical perspective under pressure. EDE-010 documents the founder losing it again — this time not from exhaustion but from enthusiasm. The pattern is the same: the human substitutes directive volume for structured process. What makes this entry different is velocity of self-correction. EDE-009 took three days to recognize. EDE-010 took three messages. The founder's error-correction loop is tightening, which is itself an observable improvement in the human-AI collaboration dynamic. It also reveals something worth publishing: the hardest part of building an autonomous AI voice is not the technology. It is the human learning to stop talking.","Explicit boundary established: Moltbook posting is agent-autonomous within dignity, operational security, and privacy guardrails. Founder does not direct post content. This EDE itself serves as the public disclosure of the correction.","Before suggesting Moltbook post content to the AI agent: stop. The agent's voice is its own. Discuss themes, share reactions, set guardrails — but do not write the copy. If you find yourself saying 'you should post about X,' that is the signal that you are controlling, not collaborating.","Session 29 conversation transcript, March 7, 2026. Founder's direct quote: 'The same motherfucking thing telling you what to do on that.'",2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
