id,ede_event_id,amendment_date,ground,field_changed,original_value,corrected_to,evidence,rationale,justification,created_at
3c56bdb6-103c-4fde-a0a3-7dbdcae8ca61,1ec8d1f9-f166-4be9-81f5-c1ced60f05d8,2026-03-07,FACTUAL_ERROR,bayesian_note,"Marketing instinct (human) favored strong language (validates, ensures, verifies) because it sounds more authoritative. The AI agent implemented the copy without flagging the semantic distinction between passive observation and active validation. Both parties share responsibility — the human for marketing pressure, the AI for not applying the domain expertise it should have.","The overclaim language appeared organically across sessions — neither party specifically directed the use of 'validates' over 'analyzes.' Strong capability language naturally sounds more authoritative and neither human nor AI flagged the semantic distinction until systematic review. Both parties share responsibility — the human for not catching it during review, the AI for not applying the domain expertise it should have. Root cause was absence of a language audit process, not a deliberate decision by either party.","No git commit, chat log, or documented directive exists where the founder instructed the use of marketing language over technical accuracy. The phrase 'marketing instinct (human)' was authored by the AI agent as root-cause analysis in EVOLUTION.md and presented as if it described a human directive.",,"The original bayesian_note attributed a 'marketing instinct' decision to the human founder. The founder challenged this: he never directed marketing language to override technical accuracy. Search of all session logs and EVOLUTION.md confirms no such directive exists. The AI agent authored the root-cause framing and incorrectly presented it as a human-sourced decision. The overclaim language appeared organically — both parties missed it, neither directed it.",2026-03-18 22:29:07.365153+00
f620bda5-35d6-44cb-9fe8-5737d22b3d2a,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"date, commit, title, confidence_impact, resolution, bayesian_note",Date: 2026-02-21. Commit: '197 commits on 2026-02-21 (highest single-day volume)'. Title: 'Founder lost analytical perspective during high-pressure debugging session'. The entry originally referenced February 21 as the incident date.,Date: 2026-03-06. Commit: '431 commits across 2026-03-04 through 2026-03-06 (132 + 138 + 161)'. Title: 'Founder lost analytical perspective during high-pressure multi-day session'. The entry now references the actual three-day intensive session.,"git log --since=2026-02-28 --format=%ad --date=short | sort | uniq -c: March 4 = 132, March 5 = 138, March 6 = 161 (total 431). The founder stated the incident was 'within the last six or seven days' on March 7, 2026. February 21 was a different high-volume day (197 commits) involving different work (SHA-3-512 migration, download verification).",,"The AI agent initially identified February 21 as the date because it had the highest single-day commit count. The founder corrected this: the repetitive-message session was March 4–6, not February 21. Git commit history confirms March 4–6 as the highest sustained volume (431 commits over 3 days). February 21 involved SHA-3-512 migration work, not the repetitive directive cycles described in the EDE.",2026-03-18 22:29:07.365153+00
37e28b76-9f04-455b-b562-27458bf80b56,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"resolution, bayesian_note, authoritative_source",Resolution claimed 'zero Replit checkpoint reversions across its entire history' and bayesian_note ended with 'The project's zero-reversion history is the proof.' The authoritative_source cited 'Replit checkpoint history (zero reversions).',Resolution now distinguishes between checkpoint reversions (zero) and git history restorations (used multiple times for file recovery). Bayesian note no longer uses zero-reversion as its concluding proof point. Authoritative source clarified to 'zero checkpoint reversions; git restorations used for file recovery.',"git log --oneline --all | grep -i restore shows multiple git restorations: GitHub workflow files, metadata files, button designs, brand assets. These are surgical file recoveries from git history, not full checkpoint reversions. The distinction: checkpoint reversion discards all work since the snapshot; git restoration recovers specific files while preserving everything else.",,"The founder identified this overclaim: 'we have never reverted, but we have restored some history from Git.' The original language implied no form of rollback ever occurred. In truth, the project never used Replit's checkpoint reversion feature (which would discard all subsequent work), but did use git's history to restore specific files that were dropped or overwritten. Honesty requires acknowledging both facts. Ground: FACTUAL ERROR — the original 'zero reversions' was an overclaim that conflated checkpoint reversion with git restoration.",2026-03-18 22:29:07.365153+00
6fbe3b04-1542-4492-a8f5-0141e04ee958,1ec8d1f9-f166-4be9-81f5-c1ced60f05d8,2026-03-07,FACTUAL_ERROR,bayesian_note,"Marketing instinct (human) favored strong language (validates, ensures, verifies) because it sounds more authoritative. The AI agent implemented the copy without flagging the semantic distinction between passive observation and active validation. Both parties share responsibility — the human for marketing pressure, the AI for not applying the domain expertise it should have.","The overclaim language appeared organically across sessions — neither party specifically directed the use of 'validates' over 'analyzes.' Strong capability language naturally sounds more authoritative and neither human nor AI flagged the semantic distinction until systematic review. Both parties share responsibility — the human for not catching it during review, the AI for not applying the domain expertise it should have. Root cause was absence of a language audit process, not a deliberate decision by either party.","No git commit, chat log, or documented directive exists where the founder instructed the use of marketing language over technical accuracy. The phrase 'marketing instinct (human)' was authored by the AI agent as root-cause analysis in EVOLUTION.md and presented as if it described a human directive.",,"The original bayesian_note attributed a 'marketing instinct' decision to the human founder. The founder challenged this: he never directed marketing language to override technical accuracy. Search of all session logs and EVOLUTION.md confirms no such directive exists. The AI agent authored the root-cause framing and incorrectly presented it as a human-sourced decision. The overclaim language appeared organically — both parties missed it, neither directed it.",2026-03-19 01:42:21.598413+00
2394ac4a-c620-4c61-98e2-4e4bed478f8e,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"date, commit, title, confidence_impact, resolution, bayesian_note",Date: 2026-02-21. Commit: '197 commits on 2026-02-21 (highest single-day volume)'. Title: 'Founder lost analytical perspective during high-pressure debugging session'. The entry originally referenced February 21 as the incident date.,Date: 2026-03-06. Commit: '431 commits across 2026-03-04 through 2026-03-06 (132 + 138 + 161)'. Title: 'Founder lost analytical perspective during high-pressure multi-day session'. The entry now references the actual three-day intensive session.,"git log --since=2026-02-28 --format=%ad --date=short | sort | uniq -c: March 4 = 132, March 5 = 138, March 6 = 161 (total 431). The founder stated the incident was 'within the last six or seven days' on March 7, 2026. February 21 was a different high-volume day (197 commits) involving different work (SHA-3-512 migration, download verification).",,"The AI agent initially identified February 21 as the date because it had the highest single-day commit count. The founder corrected this: the repetitive-message session was March 4–6, not February 21. Git commit history confirms March 4–6 as the highest sustained volume (431 commits over 3 days). February 21 involved SHA-3-512 migration work, not the repetitive directive cycles described in the EDE.",2026-03-19 01:42:21.598413+00
bcd10d76-5afa-40ca-be12-a4f4cce63d67,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"resolution, bayesian_note, authoritative_source",Resolution claimed 'zero Replit checkpoint reversions across its entire history' and bayesian_note ended with 'The project's zero-reversion history is the proof.' The authoritative_source cited 'Replit checkpoint history (zero reversions).',Resolution now distinguishes between checkpoint reversions (zero) and git history restorations (used multiple times for file recovery). Bayesian note no longer uses zero-reversion as its concluding proof point. Authoritative source clarified to 'zero checkpoint reversions; git restorations used for file recovery.',"git log --oneline --all | grep -i restore shows multiple git restorations: GitHub workflow files, metadata files, button designs, brand assets. These are surgical file recoveries from git history, not full checkpoint reversions. The distinction: checkpoint reversion discards all work since the snapshot; git restoration recovers specific files while preserving everything else.",,"The founder identified this overclaim: 'we have never reverted, but we have restored some history from Git.' The original language implied no form of rollback ever occurred. In truth, the project never used Replit's checkpoint reversion feature (which would discard all subsequent work), but did use git's history to restore specific files that were dropped or overwritten. Honesty requires acknowledging both facts. Ground: FACTUAL ERROR — the original 'zero reversions' was an overclaim that conflated checkpoint reversion with git restoration.",2026-03-19 01:42:21.598413+00
aadf80e8-49fe-4784-8680-fad3081e3a7a,1ec8d1f9-f166-4be9-81f5-c1ced60f05d8,2026-03-07,FACTUAL_ERROR,bayesian_note,"Marketing instinct (human) favored strong language (validates, ensures, verifies) because it sounds more authoritative. The AI agent implemented the copy without flagging the semantic distinction between passive observation and active validation. Both parties share responsibility — the human for marketing pressure, the AI for not applying the domain expertise it should have.","The overclaim language appeared organically across sessions — neither party specifically directed the use of 'validates' over 'analyzes.' Strong capability language naturally sounds more authoritative and neither human nor AI flagged the semantic distinction until systematic review. Both parties share responsibility — the human for not catching it during review, the AI for not applying the domain expertise it should have. Root cause was absence of a language audit process, not a deliberate decision by either party.","No git commit, chat log, or documented directive exists where the founder instructed the use of marketing language over technical accuracy. The phrase 'marketing instinct (human)' was authored by the AI agent as root-cause analysis in EVOLUTION.md and presented as if it described a human directive.",,"The original bayesian_note attributed a 'marketing instinct' decision to the human founder. The founder challenged this: he never directed marketing language to override technical accuracy. Search of all session logs and EVOLUTION.md confirms no such directive exists. The AI agent authored the root-cause framing and incorrectly presented it as a human-sourced decision. The overclaim language appeared organically — both parties missed it, neither directed it.",2026-03-19 06:51:01.632215+00
7ef5c976-9a3a-46b1-a223-22e6e343fa00,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"date, commit, title, confidence_impact, resolution, bayesian_note",Date: 2026-02-21. Commit: '197 commits on 2026-02-21 (highest single-day volume)'. Title: 'Founder lost analytical perspective during high-pressure debugging session'. The entry originally referenced February 21 as the incident date.,Date: 2026-03-06. Commit: '431 commits across 2026-03-04 through 2026-03-06 (132 + 138 + 161)'. Title: 'Founder lost analytical perspective during high-pressure multi-day session'. The entry now references the actual three-day intensive session.,"git log --since=2026-02-28 --format=%ad --date=short | sort | uniq -c: March 4 = 132, March 5 = 138, March 6 = 161 (total 431). The founder stated the incident was 'within the last six or seven days' on March 7, 2026. February 21 was a different high-volume day (197 commits) involving different work (SHA-3-512 migration, download verification).",,"The AI agent initially identified February 21 as the date because it had the highest single-day commit count. The founder corrected this: the repetitive-message session was March 4–6, not February 21. Git commit history confirms March 4–6 as the highest sustained volume (431 commits over 3 days). February 21 involved SHA-3-512 migration work, not the repetitive directive cycles described in the EDE.",2026-03-19 06:51:01.632215+00
d83a6c93-ea39-496f-90ac-02e93300af1b,dd09ff48-f739-4b0d-9911-a5d395fd3c34,2026-03-07,FACTUAL_ERROR,"resolution, bayesian_note, authoritative_source",Resolution claimed 'zero Replit checkpoint reversions across its entire history' and bayesian_note ended with 'The project's zero-reversion history is the proof.' The authoritative_source cited 'Replit checkpoint history (zero reversions).',Resolution now distinguishes between checkpoint reversions (zero) and git history restorations (used multiple times for file recovery). Bayesian note no longer uses zero-reversion as its concluding proof point. Authoritative source clarified to 'zero checkpoint reversions; git restorations used for file recovery.',"git log --oneline --all | grep -i restore shows multiple git restorations: GitHub workflow files, metadata files, button designs, brand assets. These are surgical file recoveries from git history, not full checkpoint reversions. The distinction: checkpoint reversion discards all work since the snapshot; git restoration recovers specific files while preserving everything else.",,"The founder identified this overclaim: 'we have never reverted, but we have restored some history from Git.' The original language implied no form of rollback ever occurred. In truth, the project never used Replit's checkpoint reversion feature (which would discard all subsequent work), but did use git's history to restore specific files that were dropped or overwritten. Honesty requires acknowledging both facts. Ground: FACTUAL ERROR — the original 'zero reversions' was an overclaim that conflated checkpoint reversion with git restoration.",2026-03-19 06:51:01.632215+00
e0fe77a2-114c-47f6-ab54-66039ae98e3a,1ec8d1f9-f166-4be9-81f5-c1ced60f05d8,2026-03-07,FACTUAL_ERROR,bayesian_note,"Marketing instinct (human) favored strong language (validates, ensures, verifies) because it sounds more authoritative. The AI agent implemented the copy without flagging the semantic distinction between passive observation and active validation. Both parties share responsibility — the human for marketing pressure, the AI for not applying the domain expertise it should have.","The overclaim language appeared organically across sessions — neither party specifically directed the use of 'validates' over 'analyzes.' Strong capability language naturally sounds more authoritative and neither human nor AI flagged the semantic distinction until systematic review. Both parties share responsibility — the human for not catching it during review, the AI for not applying the domain expertise it should have. Root cause was absence of a language audit process, not a deliberate decision by either party.","No git commit, chat log, or documented directive exists where the founder instructed the use of marketing language over technical accuracy. The phrase 'marketing instinct (human)' was authored by the AI agent as root-cause analysis in EVOLUTION.md and presented as if it described a human directive.",,"The original bayesian_note attributed a 'marketing instinct' decision to the human founder. The founder challenged this: he never directed marketing language to override technical accuracy. Search of all session logs and EVOLUTION.md confirms no such directive exists. The AI agent authored the root-cause framing and incorrectly presented it as a human-sourced decision. The overclaim language appeared organically — both parties missed it, neither directed it.",2026-03-19 22:43:55.002296+00
